epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,99,21,472,27,368,36,278,58,172
202542,104,21,511,27,394,37,296,60,182
202543,112,22,561,29,429,39,321,64,197
202544,122,23,623,31,475,42,354,69,216
202545,134,25,690,33,525,45,388,75,236
202546,144,27,754,35,572,48,420,81,255
202547,152,28,808,37,611,50,446,85,270
202548,160,29,856,38,646,52,470,89,284
202549,168,31,908,40,685,55,499,94,300
202550,179,32,972,43,736,58,536,100,320
202551,190,34,1040,45,789,62,575,106,340
202552,198,36,1095,47,832,64,606,111,355
202601,202,37,1128,48,856,66,622,113,363
202602,203,37,1145,49,866,67,629,114,366
202603,205,38,1157,49,875,68,636,114,369
202604,207,38,1169,50,885,68,643,115,373
202605,207,38,1173,50,889,68,645,115,375
202606,204,37,1153,49,874,67,633,113,368
202607,195,35,1102,47,834,64,604,108,351
202608,183,33,1033,44,781,60,565,101,330
202609,171,31,965,41,729,56,528,95,310
202610,160,29,901,38,683,53,495,89,291
202611,150,27,842,36,640,49,464,83,273
202612,139,25,780,33,593,45,431,76,253
202613,126,22,711,29,538,41,392,69,230
202614,113,20,636,26,480,37,351,62,206
202615,100,17,565,23,426,32,312,55,183
202616,90,16,504,21,381,29,279,49,164
202617,80,14,453,19,342,26,250,44,147
202618,72,13,403,16,306,23,223,39,131
202619,63,11,353,14,269,20,197,34,116
202620,55,10,306,13,234,17,171,30,101
202621,48,8,267,11,205,15,150,26,89
202622,43,8,239,10,185,14,135,24,80
202623,40,7,222,9,172,13,124,22,73
202624,37,7,208,9,161,12,117,20,68
202625,35,6,196,8,151,11,110,19,64
202626,33,6,184,8,142,11,103,18,60
202627,31,5,174,7,134,10,98,17,56
202628,30,5,167,7,128,10,94,16,54
202629,29,5,163,7,125,9,92,16,53
202630,28,5,160,7,122,9,90,16,52
202631,28,5,158,7,120,9,89,16,51
202632,28,5,157,7,120,9,88,15,51
202633,29,5,160,7,122,9,89,16,52
202634,30,5,166,7,127,9,93,16,54
202635,31,6,176,7,135,10,98,17,57
202636,33,6,188,8,145,11,105,18,61
202637,36,6,202,8,155,11,112,20,66
202638,39,7,219,9,167,12,122,21,71
202639,43,7,241,10,183,13,133,23,77
202640,47,8,267,11,202,15,147,26,86
