epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,46,13,157,16,130,20,103,30,70
202542,44,12,156,15,128,19,101,28,67
202543,42,11,153,14,125,18,98,27,65
202544,40,10,152,13,124,17,97,25,64
202545,40,10,157,13,127,17,99,25,65
202546,42,10,167,13,134,17,104,26,67
202547,43,10,178,13,142,17,110,27,71
202548,44,10,185,13,146,17,113,27,73
202549,44,10,188,13,148,17,115,27,73
202550,45,11,195,13,154,17,118,27,75
202551,48,11,210,14,166,18,127,29,80
202552,52,12,231,15,182,20,139,31,87
202601,55,12,246,16,193,20,147,32,91
202602,56,13,252,16,197,21,150,33,93
202603,57,13,260,16,204,21,154,34,96
202604,62,14,284,18,225,23,168,36,105
202605,71,16,323,20,257,26,192,41,119
202606,79,17,365,22,291,29,217,47,134
202607,87,19,399,24,317,31,238,51,148
202608,95,21,434,26,344,34,260,56,162
202609,107,23,486,29,384,39,291,63,182
202610,123,26,563,34,445,45,337,73,211
202611,143,31,656,39,517,52,393,85,245
202612,162,35,746,44,583,59,444,96,278
202613,178,38,821,49,636,65,486,105,304
202614,192,41,887,53,685,70,523,113,328
202615,209,45,970,57,749,76,570,123,357
202616,230,49,1072,62,830,82,627,135,393
202617,252,53,1176,67,910,89,684,148,428
202618,269,57,1259,71,972,94,729,157,456
202619,282,59,1319,75,1020,99,764,164,478
202620,296,62,1382,78,1074,104,802,172,501
202621,313,66,1466,83,1145,110,853,181,531
202622,333,70,1564,88,1226,117,910,193,565
202623,349,73,1644,92,1290,122,957,202,593
202624,356,74,1680,94,1317,125,979,206,605
202625,354,74,1678,94,1314,126,980,205,603
202626,351,74,1670,94,1308,126,979,204,600
202627,351,73,1670,94,1311,126,983,204,599
202628,348,72,1661,93,1305,124,980,203,596
202629,336,70,1614,89,1267,120,953,196,578
202630,317,66,1531,84,1197,113,903,185,547
202631,295,61,1431,78,1114,106,841,172,509
202632,275,56,1342,73,1040,98,784,160,474
202633,259,52,1272,68,983,92,738,151,446
202634,244,49,1202,64,930,86,693,142,419
202635,225,45,1114,59,862,80,639,131,387
202636,204,41,1013,53,784,72,577,118,350
202637,185,37,920,48,711,66,522,107,317
202638,171,35,850,45,657,60,481,99,292
202639,162,33,798,42,619,57,452,93,274
202640,152,31,747,39,582,53,425,88,259
