epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,69,20,264,24,205,31,165,45,112
202542,75,20,287,25,226,33,180,49,121
202543,84,21,309,27,258,34,193,52,127
202544,86,23,334,28,267,36,206,54,135
202545,93,24,371,30,291,40,229,60,151
202546,105,26,406,33,331,44,253,66,165
202547,108,28,426,35,342,45,264,68,173
202548,114,30,450,37,361,47,279,71,182
202549,128,32,495,40,406,52,308,79,200
202550,132,34,525,42,418,55,328,84,215
202551,136,36,542,44,433,57,339,86,222
202552,147,38,564,47,470,59,354,91,229
202601,152,39,597,49,480,62,374,95,242
202602,155,41,623,51,489,65,391,98,256
202603,163,42,634,52,517,66,399,101,260
202604,164,42,633,53,512,66,396,101,257
202605,162,42,644,52,508,67,401,101,261
202606,167,42,656,53,525,69,410,104,268
202607,166,42,645,52,513,67,403,103,264
202608,159,40,621,50,495,64,385,98,253
202609,158,40,618,49,499,64,382,98,250
202610,157,40,617,49,485,64,382,98,252
202611,150,38,593,47,464,62,366,94,243
202612,144,36,561,45,454,58,344,89,227
202613,140,35,546,44,434,56,334,87,220
202614,136,35,537,43,418,56,329,85,218
202615,130,33,513,41,408,54,316,82,209
202616,124,31,481,39,384,50,296,77,195
202617,120,30,465,38,369,48,285,75,187
202618,116,30,456,37,363,48,280,73,184
202619,110,28,431,35,340,46,269,69,177
202620,107,27,409,34,327,43,255,67,168
202621,103,26,394,33,322,41,245,64,161
202622,97,25,379,31,301,40,237,60,156
202623,95,24,365,30,292,39,231,59,152
202624,93,23,352,29,290,37,222,57,146
202625,86,22,336,27,269,35,210,53,139
202626,84,21,326,27,262,34,204,52,134
202627,84,20,319,26,264,33,201,52,132
202628,78,20,308,25,246,32,193,49,128
202629,76,19,298,24,237,31,186,47,123
202630,77,18,292,24,244,30,182,47,119
202631,73,18,284,23,230,30,178,45,117
202632,71,18,284,23,224,30,178,45,117
202633,73,18,286,23,235,30,179,46,117
202634,70,18,278,22,226,29,174,44,113
202635,68,18,274,22,219,28,173,43,112
202636,73,18,287,23,234,29,180,45,117
202637,72,18,290,23,233,30,182,45,118
202638,70,18,286,22,227,29,179,44,116
202639,75,18,295,23,244,30,184,46,118
202640,77,19,310,24,249,31,192,48,125
