epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,19,3,105,4,78,6,57,10,33
202542,18,3,103,4,76,6,55,10,32
202543,17,3,101,4,75,5,53,9,31
202544,16,3,100,4,74,5,52,9,30
202545,16,3,98,3,72,5,51,8,29
202546,15,2,96,3,71,5,50,8,28
202547,14,2,95,3,70,4,49,8,27
202548,14,2,95,3,70,4,49,7,27
202549,15,2,99,3,72,4,51,8,28
202550,16,2,109,3,79,5,56,8,30
202551,18,3,125,4,90,5,64,9,34
202552,21,3,147,4,107,6,75,11,41
202601,24,3,174,5,127,7,89,12,48
202602,28,4,203,5,148,8,103,14,55
202603,32,4,233,6,169,9,118,16,63
202604,35,5,260,7,188,10,132,18,70
202605,37,5,282,7,204,10,143,19,75
202606,39,5,301,7,216,10,151,20,79
202607,40,5,314,7,224,11,156,20,81
202608,40,5,319,7,228,10,157,20,81
202609,39,5,319,7,228,10,156,19,81
202610,39,5,317,7,226,10,154,19,80
202611,38,5,312,7,222,10,151,18,79
202612,37,5,305,6,217,9,148,18,77
202613,37,5,299,6,213,9,145,18,76
202614,36,4,293,6,208,9,143,17,74
202615,35,4,287,6,204,9,140,17,73
202616,34,4,282,6,200,9,137,16,71
202617,33,4,279,6,198,8,135,16,70
202618,33,4,277,6,197,8,134,16,69
202619,32,4,277,6,198,8,134,16,69
202620,32,4,276,5,198,8,133,16,68
202621,32,4,275,5,197,8,132,16,68
202622,32,4,272,5,195,8,131,16,67
202623,32,4,269,5,192,8,130,15,67
202624,32,4,268,5,191,8,130,15,67
202625,33,4,273,5,195,8,133,16,68
202626,34,4,283,6,202,8,138,16,70
202627,35,4,303,6,216,9,147,17,74
202628,38,4,332,6,235,9,159,18,80
202629,41,5,366,7,257,10,173,19,87
202630,44,5,400,7,278,10,186,21,93
202631,46,5,429,7,296,11,197,22,98
202632,47,5,447,7,308,11,203,22,101
202633,46,5,448,7,308,11,201,22,100
202634,44,5,431,7,297,10,193,21,96
202635,41,4,401,6,277,9,179,19,89
202636,37,4,364,6,252,9,163,17,81
202637,34,3,326,5,227,8,147,15,73
202638,30,3,293,5,205,7,134,14,66
202639,28,3,269,4,188,6,124,13,61
202640,27,3,255,4,178,6,118,12,59
