epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,72,26,207,31,175,37,143,51,103
202542,68,24,199,29,167,35,137,48,98
202543,67,24,198,28,166,34,135,47,97
202544,69,24,203,28,170,34,139,48,99
202545,72,25,211,29,177,36,145,50,104
202546,75,26,221,31,186,37,153,52,110
202547,79,28,232,32,197,39,161,55,116
202548,84,29,245,34,208,42,171,58,122
202549,90,31,261,37,223,45,183,62,131
202550,98,34,285,40,244,49,200,68,143
202551,110,38,320,45,273,54,224,76,160
202552,126,43,370,51,313,62,257,86,183
202601,147,50,436,60,365,72,300,101,213
202602,173,59,517,70,431,85,352,119,250
202603,205,70,615,82,510,100,417,140,296
202604,243,83,730,98,605,119,494,167,352
202605,287,97,863,115,717,141,585,197,418
202606,339,114,1014,136,845,166,689,233,493
202607,394,132,1174,158,983,194,801,270,574
202608,451,151,1338,180,1125,222,917,310,656
202609,509,170,1503,204,1268,251,1034,349,739
202610,565,188,1664,227,1407,280,1148,388,820
202611,614,205,1804,247,1527,304,1245,422,889
202612,648,217,1903,262,1612,322,1315,447,938
202613,669,225,1966,272,1666,333,1359,463,969
202614,680,231,2004,277,1696,340,1385,472,987
202615,687,234,2032,280,1714,344,1400,478,999
202616,694,237,2061,283,1730,348,1414,483,1010
202617,701,238,2089,285,1745,351,1427,488,1021
202618,703,238,2102,285,1750,351,1430,488,1024
202619,699,235,2094,281,1740,347,1421,484,1017
202620,686,229,2055,274,1709,338,1395,473,997
202621,663,221,1984,264,1654,326,1349,456,964
202622,629,209,1875,250,1568,307,1280,431,913
202623,582,194,1734,231,1456,284,1188,398,847
202624,525,175,1566,209,1319,256,1076,359,765
202625,464,154,1396,184,1174,226,956,317,678
202626,408,135,1243,162,1042,198,845,278,598
202627,358,117,1113,142,927,173,748,244,527
202628,317,102,1003,124,830,153,666,215,468
202629,283,90,907,110,747,135,597,191,418
202630,254,80,821,97,675,120,539,171,376
202631,229,71,744,86,610,108,488,153,340
202632,207,64,675,77,554,97,445,138,308
202633,188,58,613,70,505,87,407,125,281
202634,172,52,559,63,462,79,373,114,258
202635,157,48,513,58,424,72,343,104,237
202636,145,44,475,53,393,66,318,96,220
202637,135,41,446,49,369,61,298,89,205
202638,128,38,425,47,352,58,283,84,195
202639,123,36,410,45,339,55,273,81,188
202640,121,36,400,44,331,54,267,79,185
