epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,64,22,180,26,152,32,125,43,91
202542,64,21,185,26,156,31,127,43,92
202543,63,21,188,25,159,31,129,43,93
202544,65,21,196,26,165,31,134,44,96
202545,68,22,210,27,176,32,143,46,101
202546,69,22,217,27,182,33,148,47,104
202547,67,21,213,26,178,32,145,46,102
202548,65,21,207,25,174,31,141,45,99
202549,67,21,215,25,180,32,145,45,102
202550,71,22,228,26,189,33,151,47,106
202551,72,22,236,26,195,33,156,47,109
202552,75,22,249,27,208,35,166,49,114
202601,88,26,296,32,246,40,194,58,134
202602,107,31,366,38,301,48,237,70,163
202603,123,36,426,44,348,55,275,81,187
202604,134,40,472,48,386,61,306,90,207
202605,151,45,535,55,439,69,346,101,235
202606,175,51,619,63,505,79,396,116,270
202607,195,57,690,70,558,88,440,129,299
202608,206,60,727,73,587,92,464,135,316
202609,220,64,770,78,625,99,494,144,337
202610,250,73,867,89,707,112,555,162,381
202611,288,84,992,102,809,129,635,185,437
202612,318,93,1095,113,895,142,705,205,485
202613,344,100,1184,123,973,154,770,223,528
202614,380,111,1307,137,1081,170,855,248,586
202615,426,124,1462,153,1210,191,956,278,656
202616,462,134,1582,165,1307,206,1037,301,711
202617,479,138,1636,171,1356,214,1081,313,740
202618,490,141,1668,175,1391,218,1110,321,758
202619,507,146,1717,180,1437,225,1144,330,782
202620,515,148,1739,182,1453,228,1156,333,792
202621,502,144,1692,177,1412,222,1124,324,771
202622,475,137,1601,167,1336,210,1066,307,731
202623,456,132,1541,161,1289,202,1027,296,704
202624,449,130,1519,158,1269,198,1009,290,691
202625,437,126,1481,153,1235,193,982,282,672
202626,410,118,1396,144,1162,181,927,265,632
202627,381,110,1311,134,1091,168,871,247,591
202628,364,105,1265,127,1049,160,837,236,566
202629,352,100,1234,122,1017,153,809,226,546
202630,331,93,1172,114,959,143,764,212,513
202631,305,85,1096,104,893,132,712,195,475
202632,286,79,1042,97,846,123,672,183,446
202633,276,75,1012,92,819,117,647,175,429
202634,261,70,964,86,776,110,610,164,405
202635,236,63,883,78,709,99,556,149,369
202636,213,57,807,70,645,89,506,135,335
202637,201,53,769,65,614,84,480,127,316
202638,194,50,743,62,595,80,462,121,304
202639,183,46,701,58,562,75,435,114,286
202640,169,42,655,53,525,69,406,105,266
