epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,90,19,450,24,349,32,251,52,154
202542,102,20,540,26,409,35,293,58,176
202543,116,22,651,29,479,39,346,65,203
202544,132,24,774,32,559,43,404,74,234
202545,151,26,906,35,655,48,469,83,271
202546,173,30,1059,39,770,54,545,94,316
202547,200,34,1249,44,906,62,640,107,369
202548,232,38,1485,51,1072,71,758,123,434
202549,274,44,1769,60,1281,84,902,145,516
202550,323,52,2080,70,1527,98,1067,169,613
202551,375,60,2410,80,1795,112,1245,195,719
202552,430,68,2768,91,2075,128,1443,224,830
202601,490,77,3175,103,2375,145,1669,255,946
202602,559,87,3627,117,2716,165,1920,292,1075
202603,635,97,4112,132,3090,186,2183,332,1217
202604,711,109,4584,147,3461,207,2434,373,1357
202605,774,117,4988,160,3767,224,2646,407,1474
202606,817,123,5295,168,3976,236,2802,431,1553
202607,848,126,5541,173,4136,244,2923,448,1609
202608,876,130,5749,178,4291,253,3022,463,1661
202609,901,134,5921,183,4437,260,3099,475,1709
202610,911,136,5999,184,4506,262,3126,479,1730
202611,895,134,5935,181,4443,258,3080,470,1704
202612,856,128,5729,173,4264,247,2970,449,1638
202613,811,121,5467,164,4060,234,2836,425,1560
202614,766,115,5179,155,3867,222,2689,401,1484
202615,723,110,4886,147,3672,209,2533,377,1404
202616,671,103,4547,136,3419,193,2353,350,1304
202617,610,93,4169,125,3110,176,2150,318,1186
202618,544,83,3755,112,2772,157,1929,284,1060
202619,484,74,3343,100,2465,139,1716,253,944
202620,432,66,2963,89,2205,124,1525,225,841
202621,385,59,2617,79,1959,111,1352,200,744
202622,338,51,2301,69,1712,98,1189,175,648
202623,292,43,2000,60,1467,84,1030,151,557
202624,249,37,1719,51,1248,72,880,129,477
202625,215,32,1476,44,1076,62,753,111,413
202626,188,28,1287,38,944,54,655,97,361
202627,167,24,1149,34,839,48,584,86,320
202628,150,21,1047,30,756,43,530,78,287
202629,137,20,970,27,695,39,489,72,264
202630,128,18,913,25,656,36,459,67,248
202631,122,17,881,24,635,34,440,64,237
202632,119,17,871,23,625,33,433,62,231
202633,119,16,883,23,631,33,437,62,231
202634,121,16,903,23,647,33,446,62,236
202635,124,17,928,23,667,34,457,63,242
202636,126,17,953,23,685,34,468,64,248
202637,129,17,981,23,704,34,479,65,253
202638,133,17,1018,24,729,35,497,66,262
202639,139,18,1070,25,767,37,522,69,276
202640,147,19,1133,27,816,39,554,73,294
