epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,220,40,1129,52,874,71,643,120,384
202542,187,32,1034,42,792,58,576,101,339
202543,192,31,1148,41,868,57,625,101,361
202544,183,28,1094,38,831,53,594,95,340
202545,185,27,1187,37,877,52,621,95,349
202546,170,24,1151,32,857,46,600,86,333
202547,172,24,1211,32,882,46,616,85,338
202548,169,22,1228,30,895,44,618,83,334
202549,164,21,1246,28,891,41,612,80,327
202550,163,20,1296,28,926,40,633,78,332
202551,159,19,1308,26,921,39,625,76,327
202552,161,19,1369,26,961,38,650,76,335
202601,155,18,1357,25,948,37,639,73,327
202602,157,18,1420,25,979,37,659,74,335
202603,151,17,1390,23,964,35,647,70,325
202604,149,16,1416,23,967,34,649,69,325
202605,147,16,1397,22,964,33,647,68,322
202606,143,15,1393,21,951,32,637,66,317
202607,140,15,1374,21,946,31,632,64,313
202608,135,14,1338,20,922,30,613,62,303
202609,132,13,1311,19,904,29,598,60,296
202610,126,13,1264,18,875,28,575,58,284
202611,121,12,1221,17,844,27,553,55,273
202612,116,12,1166,17,813,25,529,53,260
202613,110,11,1111,16,770,24,499,50,246
202614,104,10,1049,15,734,23,476,47,232
202615,99,10,995,14,691,21,447,44,219
202616,93,9,934,13,656,20,422,42,206
202617,88,8,883,12,614,19,396,39,192
202618,84,8,841,12,585,18,376,37,183
202619,78,7,790,11,547,17,351,34,170
202620,74,7,755,10,517,16,332,33,162
202621,72,7,736,10,500,15,322,31,156
202622,67,6,691,9,466,14,300,29,146
202623,66,6,693,9,462,14,297,28,144
202624,63,6,663,8,441,13,283,27,139
202625,61,5,660,8,433,12,278,26,135
202626,59,5,640,8,422,12,272,25,133
202627,58,5,643,8,420,12,269,25,131
202628,56,5,629,7,415,11,267,24,129
202629,56,5,637,7,417,11,268,24,129
202630,56,5,643,7,426,11,273,24,130
202631,54,5,627,7,414,11,266,23,126
202632,56,5,655,7,438,11,279,24,132
202633,54,4,631,7,423,10,270,22,126
202634,54,4,656,7,441,10,277,23,129
202635,53,4,638,7,434,10,274,22,127
202636,54,4,658,7,444,10,277,22,128
202637,53,4,640,6,438,10,274,22,126
202638,53,4,655,6,442,10,275,22,126
202639,52,4,646,6,439,10,273,21,124
202640,52,4,644,6,434,10,270,21,123
