epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,22,7,77,8,62,10,50,15,34
202542,23,7,83,8,65,10,52,15,36
202543,25,7,90,8,71,11,56,16,38
202544,27,7,98,9,78,12,61,17,41
202545,29,8,105,10,85,12,67,18,45
202546,31,8,112,10,93,13,72,19,48
202547,32,8,119,11,99,13,77,20,51
202548,33,9,124,11,102,14,79,21,52
202549,33,9,125,11,101,14,79,21,52
202550,32,8,123,10,99,13,78,20,51
202551,33,9,128,11,103,14,81,21,53
202552,38,10,149,12,118,16,92,24,60
202601,47,12,188,15,147,20,114,30,75
202602,60,15,240,19,189,25,147,38,96
202603,75,19,296,24,238,31,185,47,121
202604,91,23,357,29,292,37,227,57,149
202605,109,28,429,35,349,44,271,68,177
202606,128,32,513,41,410,52,316,80,207
202607,147,37,598,47,470,60,361,92,236
202608,164,41,667,52,523,67,403,102,263
202609,179,45,721,57,573,74,442,112,289
202610,194,49,771,62,621,79,480,121,313
202611,208,53,822,66,664,85,514,129,336
202612,218,55,862,69,695,90,537,136,351
202613,220,56,871,70,700,91,541,138,355
202614,215,54,842,68,678,88,524,134,345
202615,202,51,788,64,635,82,493,126,325
202616,189,47,732,59,587,77,456,118,301
202617,176,44,688,55,543,71,423,110,279
202618,164,41,644,51,504,67,393,102,259
202619,151,38,592,47,465,61,364,94,240
202620,138,35,532,43,427,56,335,85,220
202621,124,31,477,39,390,50,305,77,200
202622,112,28,433,35,356,45,275,69,180
202623,99,25,392,31,318,40,243,62,159
202624,85,21,345,27,276,35,210,54,137
202625,72,18,294,23,234,30,177,45,116
202626,61,15,248,19,198,25,151,38,99
202627,53,13,214,16,171,21,131,33,85
202628,47,11,192,14,152,19,117,29,76
202629,42,10,174,13,137,17,106,26,68
202630,39,9,160,12,127,15,97,24,63
202631,36,8,148,11,118,14,90,22,58
202632,34,8,140,10,112,13,85,20,55
202633,32,7,135,9,108,12,81,19,52
202634,31,7,131,9,103,12,78,19,50
202635,30,7,126,9,99,11,75,18,49
202636,29,6,122,8,96,11,73,17,47
202637,28,6,120,8,94,10,72,17,46
202638,28,6,120,8,94,10,72,17,46
202639,28,6,121,8,95,10,73,17,46
202640,28,6,122,8,96,10,74,17,47
