epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,149,37,596,46,469,60,365,92,239
202542,151,36,630,45,495,59,381,92,246
202543,160,36,689,46,543,61,414,96,264
202544,175,39,771,50,609,66,461,105,291
202545,194,42,868,54,687,73,517,116,324
202546,216,45,983,59,776,80,582,129,362
202547,240,50,1111,65,875,88,655,143,405
202548,268,56,1253,72,980,98,733,159,451
202549,303,63,1422,81,1106,109,827,178,508
202550,350,74,1647,94,1276,126,955,205,586
202551,414,87,1950,111,1509,148,1126,240,693
202552,501,105,2374,135,1839,179,1368,290,844
202601,620,128,2954,167,2290,221,1698,357,1051
202602,769,158,3687,206,2860,274,2117,443,1311
202603,948,195,4560,254,3546,338,2624,547,1621
202604,1162,240,5608,311,4359,417,3233,672,1990
202605,1414,294,6823,379,5304,509,3946,819,2420
202606,1710,357,8240,458,6409,617,4784,993,2926
202607,2055,430,9864,550,7686,740,5753,1195,3514
202608,2438,511,11658,651,9092,875,6823,1418,4174
202609,2848,598,13567,760,10596,1018,7961,1657,4886
202610,3274,688,15526,875,12142,1167,9139,1905,5628
202611,3664,772,17306,982,13548,1305,10211,2134,6311
202612,3974,836,18702,1068,14659,1416,11053,2315,6848
202613,4180,881,19611,1126,15385,1492,11611,2436,7204
202614,4271,903,19997,1152,15703,1527,11849,2490,7359
202615,4249,902,19870,1147,15620,1522,11780,2476,7315
202616,4127,879,19306,1114,15186,1479,11441,2402,7099
202617,3936,840,18434,1063,14507,1411,10918,2290,6766
202618,3668,784,17204,989,13540,1314,10181,2131,6301
202619,3339,712,15696,900,12360,1194,9276,1936,5736
202620,2956,628,13939,797,10977,1055,8223,1713,5079
202621,2541,537,12017,684,9451,905,7080,1470,4361
202622,2127,447,10083,572,7915,755,5938,1230,3640
202623,1743,365,8302,468,6494,618,4876,1009,2974
202624,1398,292,6708,375,5219,496,3924,811,2379
202625,1105,230,5365,296,4148,394,3120,642,1878
202626,868,180,4281,232,3283,310,2470,505,1478
202627,679,139,3417,180,2600,242,1954,395,1165
202628,531,108,2730,139,2061,188,1544,308,922
202629,418,84,2195,109,1645,147,1227,241,735
202630,333,66,1781,86,1329,116,986,191,592
202631,269,53,1473,69,1095,94,808,154,484
202632,224,44,1255,58,930,78,680,127,406
202633,193,37,1110,49,823,66,595,109,352
202634,173,33,1024,43,759,59,544,97,319
202635,162,30,981,40,727,54,518,90,301
202636,159,29,972,38,719,53,512,88,295
202637,158,29,976,38,720,52,514,88,294
202638,160,29,984,38,726,53,519,89,296
202639,161,29,996,38,733,53,524,90,299
202640,163,29,1011,39,744,53,530,90,303
