epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,48,10,233,12,177,17,137,28,90
202542,51,10,246,13,194,17,154,28,91
202543,55,10,264,13,213,18,166,29,89
202544,57,10,291,14,233,19,170,31,89
202545,59,11,326,14,253,20,171,33,96
202546,62,11,373,15,274,20,178,37,114
202547,69,13,429,17,306,23,207,41,143
202548,82,15,493,19,352,27,261,46,174
202549,101,18,571,23,417,33,329,53,201
202550,121,21,676,28,503,39,394,62,223
202551,144,25,824,33,616,46,458,76,250
202552,174,29,1023,40,762,55,539,94,298
202601,210,35,1266,49,936,67,649,116,372
202602,252,42,1520,58,1119,80,784,140,466
202603,295,49,1759,67,1299,93,933,163,561
202604,339,56,1977,75,1473,106,1080,184,643
202605,380,63,2189,84,1646,119,1216,204,712
202606,426,70,2437,94,1845,133,1360,228,785
202607,483,80,2766,106,2099,151,1538,258,884
202608,555,91,3199,122,2419,173,1769,298,1022
202609,639,105,3725,141,2804,200,2050,345,1192
202610,724,120,4268,160,3200,227,2333,393,1362
202611,799,132,4757,178,3570,250,2576,436,1499
202612,852,141,5112,191,3853,267,2742,467,1583
202613,884,146,5311,199,4031,277,2839,485,1620
202614,901,148,5387,203,4119,281,2900,492,1632
202615,902,148,5358,202,4114,281,2921,489,1630
202616,880,145,5220,197,3999,274,2870,476,1604
202617,834,138,4978,187,3783,259,2731,454,1543
202618,773,129,4657,173,3505,240,2527,424,1445
202619,701,117,4271,157,3180,218,2279,387,1313
202620,622,105,3818,140,2824,194,2011,345,1158
202621,546,92,3342,122,2468,170,1755,302,1005
202622,474,80,2877,107,2133,148,1525,261,866
202623,408,69,2448,92,1828,128,1316,223,747
202624,347,59,2073,79,1558,110,1120,190,643
202625,293,50,1756,67,1328,93,944,161,550
202626,248,42,1490,57,1132,79,792,137,464
202627,210,36,1266,48,966,67,671,116,389
202628,180,30,1079,41,826,57,578,98,326
202629,157,26,929,35,711,50,507,84,280
202630,136,23,810,31,615,43,447,72,246
202631,118,20,713,27,533,37,389,63,220
202632,102,17,630,23,463,32,336,55,196
202633,89,15,554,20,405,28,292,48,172
202634,78,13,489,18,357,24,255,42,151
202635,69,12,431,15,316,21,226,37,132
202636,61,10,383,14,285,19,204,33,118
202637,57,9,348,13,263,17,192,30,108
202638,53,9,326,12,248,16,181,28,102
202639,50,8,317,11,240,15,172,27,98
202640,49,8,317,11,237,15,166,26,95
