epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,86,27,270,32,225,40,182,57,127
202542,92,28,297,34,246,42,198,61,138
202543,101,30,334,37,275,46,220,67,152
202544,112,33,375,41,308,50,246,74,170
202545,124,36,418,44,343,55,273,81,189
202546,136,39,464,48,380,60,302,88,209
202547,148,42,510,52,416,65,331,96,228
202548,159,45,555,55,451,70,359,103,247
202549,171,49,602,60,488,75,388,111,266
202550,185,53,656,64,531,81,422,119,287
202551,204,58,728,71,590,89,469,131,317
202552,231,66,830,80,673,101,535,149,361
202601,269,77,964,93,784,117,624,173,420
202602,312,89,1119,107,911,135,725,201,488
202603,355,101,1275,122,1039,154,827,229,558
202604,394,113,1417,135,1155,171,919,254,621
202605,430,123,1547,148,1261,187,1003,276,677
202606,468,134,1682,162,1370,204,1088,300,734
202607,510,146,1835,177,1492,223,1183,326,797
202608,560,160,2012,195,1635,245,1295,358,871
202609,619,176,2214,214,1802,269,1427,395,960
202610,688,194,2447,236,1996,297,1579,440,1065
202611,759,212,2690,259,2199,327,1735,486,1174
202612,828,230,2927,283,2394,355,1885,531,1280
202613,888,246,3140,303,2564,381,2016,570,1371
202614,933,259,3314,320,2697,402,2117,600,1442
202615,964,267,3441,331,2788,416,2186,619,1489
202616,979,271,3516,336,2840,423,2225,628,1512
202617,982,272,3552,336,2861,424,2238,628,1518
202618,973,269,3540,331,2851,420,2226,621,1506
202619,944,261,3447,320,2782,407,2168,602,1464
202620,884,244,3237,298,2617,381,2037,564,1374
202621,794,219,2916,267,2362,341,1835,507,1236
202622,681,188,2512,230,2037,292,1580,436,1063
202623,561,155,2078,190,1686,240,1306,360,877
202624,444,123,1656,151,1341,190,1037,285,695
202625,345,95,1296,118,1045,147,808,222,541
202626,268,74,1013,91,814,114,629,172,421
202627,213,58,808,71,646,90,501,135,336
202628,176,47,665,57,531,73,413,110,278
202629,151,40,571,48,456,62,356,94,239
202630,134,35,505,43,405,55,317,84,213
202631,120,32,452,39,364,50,285,75,191
202632,107,28,402,35,326,45,255,67,170
202633,94,25,356,31,289,40,227,60,151
202634,84,22,318,28,260,35,205,53,135
202635,77,20,290,25,237,32,187,48,123
202636,72,19,272,23,221,29,175,45,115
202637,69,18,262,22,212,28,167,43,109
202638,67,18,260,22,208,28,163,42,107
202639,68,18,263,22,210,28,164,42,108
202640,70,18,273,23,218,29,170,44,111
