epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,56,22,141,26,122,30,103,41,78
202542,58,22,145,26,125,31,106,42,80
202543,61,23,153,27,133,33,113,44,85
202544,66,25,166,29,144,35,122,48,92
202545,72,27,181,32,156,38,133,52,99
202546,78,30,196,34,169,41,143,56,107
202547,83,31,210,37,181,44,153,59,114
202548,88,33,223,39,193,47,162,63,121
202549,95,36,243,42,210,51,176,68,132
202550,106,40,272,47,235,57,197,76,147
202551,122,46,313,54,270,65,226,87,170
202552,144,54,369,64,318,77,267,103,200
202601,172,64,441,76,379,91,319,123,238
202602,204,76,523,89,451,108,379,146,283
202603,235,88,608,103,523,124,439,169,327
202604,264,99,685,116,589,139,495,189,368
202605,290,108,756,128,651,153,546,208,405
202606,313,117,820,138,708,166,592,224,438
202607,332,124,872,147,753,175,629,237,464
202608,344,129,910,152,783,182,653,245,482
202609,352,131,937,155,803,186,669,251,493
202610,355,133,951,157,812,188,676,254,497
202611,354,132,952,156,809,188,674,253,495
202612,346,129,932,152,790,183,658,247,483
202613,331,123,893,145,755,175,630,236,462
202614,313,116,845,137,715,165,597,224,438
202615,295,110,798,129,676,155,564,211,415
202616,278,103,753,121,639,146,534,198,393
202617,262,97,711,113,604,137,504,186,371
202618,248,91,671,106,571,129,477,176,350
202619,234,85,633,100,539,122,450,166,330
202620,220,80,597,94,509,114,425,156,311
202621,205,74,558,88,476,107,397,146,290
202622,189,68,515,81,439,98,366,135,267
202623,173,62,472,75,403,90,335,123,243
202624,158,57,431,68,368,82,305,112,222
202625,145,52,398,62,339,75,280,102,204
202626,134,48,372,57,315,69,260,94,189
202627,126,44,352,53,298,64,245,88,178
202628,120,42,338,50,286,61,235,83,170
202629,115,40,327,47,276,58,227,80,164
202630,110,38,315,45,266,55,219,76,158
202631,104,36,299,42,253,52,208,72,150
202632,96,33,280,39,237,48,194,66,139
202633,88,30,258,35,218,43,178,60,127
202634,79,27,234,32,198,39,161,54,115
202635,70,23,211,28,178,34,144,48,103
202636,63,21,191,25,161,30,130,43,92
202637,57,18,176,22,147,27,119,39,84
202638,54,17,165,20,138,25,111,36,78
202639,52,16,159,19,133,24,107,35,75
202640,51,16,158,19,131,24,106,34,75
