epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,66,20,218,24,179,30,144,44,101
202542,67,20,224,24,184,30,148,44,102
202543,69,20,233,24,192,30,154,45,105
202544,72,20,245,25,203,31,163,47,111
202545,76,22,260,26,216,33,173,49,117
202546,81,23,278,28,232,35,184,52,125
202547,86,24,298,29,247,37,195,55,132
202548,90,26,316,31,260,39,205,58,139
202549,94,27,334,32,273,41,215,60,146
202550,99,28,355,34,288,43,226,64,153
202551,105,30,378,36,307,45,241,67,163
202552,113,32,410,39,333,49,261,73,176
202601,124,34,452,43,366,54,287,80,193
202602,137,38,501,47,405,60,318,88,213
202603,151,42,554,52,446,66,349,97,235
202604,164,46,601,56,483,71,378,106,254
202605,174,49,639,60,513,76,401,113,269
202606,182,52,667,62,537,79,420,118,282
202607,188,53,689,65,557,82,437,122,292
202608,194,55,709,67,577,84,453,126,303
202609,203,57,738,69,602,88,475,131,317
202610,215,60,781,73,636,93,503,138,336
202611,227,63,830,77,671,98,533,145,356
202612,238,66,873,81,700,102,556,152,372
202613,243,68,899,83,716,105,567,156,381
202614,244,68,905,83,717,105,566,156,380
202615,239,67,892,81,707,103,555,154,373
202616,234,65,870,79,694,100,543,150,364
202617,230,64,854,78,686,99,535,148,358
202618,229,63,851,78,688,99,536,147,357
202619,232,64,861,78,699,100,544,149,362
202620,236,65,878,80,712,101,554,151,368
202621,238,65,887,80,716,102,559,152,371
202622,235,64,877,79,705,100,551,150,366
202623,226,61,842,75,673,95,528,144,351
202624,210,57,785,70,625,89,491,134,328
202625,193,52,721,64,572,81,450,123,301
202626,178,49,662,59,524,75,413,112,276
202627,165,46,616,55,488,70,385,104,258
202628,158,44,588,53,467,67,369,100,247
202629,154,43,572,52,457,66,361,97,241
202630,151,42,559,51,450,64,356,96,237
202631,148,41,544,50,442,63,349,94,233
202632,143,39,525,49,429,61,339,92,227
202633,138,38,501,47,411,59,325,88,218
202634,132,36,476,44,391,56,309,84,208
202635,125,34,452,42,370,53,293,80,198
202636,120,33,434,40,353,51,279,76,188
202637,115,32,423,39,341,49,269,74,181
202638,113,32,417,38,335,49,264,72,177
202639,112,31,415,38,334,48,263,72,175
202640,112,31,417,39,337,49,265,72,176
