epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,247,75,831,91,684,112,543,163,374
202542,231,69,795,84,653,104,517,152,352
202543,220,65,767,79,630,98,498,143,337
202544,213,62,752,75,616,94,487,138,328
202545,210,60,750,73,613,92,485,136,325
202546,211,60,762,73,624,92,492,136,328
202547,213,60,778,73,637,93,501,137,333
202548,216,60,791,73,646,94,509,139,337
202549,219,60,803,74,654,95,514,140,342
202550,223,61,818,75,666,96,523,143,348
202551,227,62,831,76,678,98,531,145,355
202552,230,62,839,77,682,99,536,147,360
202601,234,63,847,79,688,101,543,150,366
202602,239,64,862,81,702,103,555,154,374
202603,246,66,882,83,722,105,570,158,383
202604,253,69,902,86,739,108,585,163,392
202605,262,71,930,88,759,112,602,168,403
202606,274,75,973,92,793,117,627,175,419
202607,288,79,1029,97,840,122,660,183,440
202608,302,83,1088,102,885,129,693,193,463
202609,317,87,1141,107,924,135,724,202,486
202610,332,92,1201,112,972,143,762,212,512
202611,348,96,1267,118,1027,150,804,223,541
202612,359,100,1315,123,1068,156,837,231,563
202613,366,102,1342,125,1087,160,855,236,577
202614,370,103,1358,127,1098,162,866,239,584
202615,374,104,1376,128,1117,163,879,241,589
202616,377,105,1392,129,1134,164,888,242,592
202617,377,105,1391,128,1131,163,885,242,589
202618,376,104,1385,127,1120,162,878,241,585
202619,377,104,1387,127,1118,162,877,240,585
202620,378,104,1392,127,1122,161,880,241,587
202621,377,104,1389,126,1118,160,875,240,586
202622,372,102,1368,125,1097,158,859,237,580
202623,365,100,1337,122,1071,154,840,231,569
202624,356,97,1303,119,1049,150,821,225,555
202625,346,95,1266,115,1025,146,801,219,540
202626,334,92,1222,112,991,141,775,212,523
202627,324,89,1182,108,959,137,753,205,507
202628,317,87,1157,106,943,134,741,201,496
202629,311,85,1143,105,934,132,735,198,490
202630,306,83,1127,103,920,130,727,195,483
202631,300,81,1111,100,901,128,715,191,476
202632,296,79,1102,98,891,125,707,189,471
202633,292,77,1098,96,890,123,702,186,466
202634,287,75,1087,93,882,120,692,183,458
202635,280,72,1066,90,862,117,674,178,447
202636,273,70,1042,87,841,113,655,173,435
202637,265,68,1022,84,826,110,639,168,424
202638,258,66,1002,82,812,106,625,164,412
202639,250,64,976,79,788,103,606,158,400
202640,242,62,949,77,763,99,587,153,387
