epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,20,8,54,9,46,11,39,15,29
202542,20,7,55,9,47,11,39,15,29
202543,21,8,57,9,49,11,41,15,30
202544,22,8,60,9,51,11,43,15,31
202545,23,8,64,10,54,12,45,16,33
202546,24,9,67,10,57,12,47,17,34
202547,25,9,69,10,59,13,49,17,35
202548,26,9,73,11,62,13,51,18,37
202549,28,10,78,12,66,14,55,19,40
202550,32,11,89,13,76,16,63,22,45
202551,38,13,107,16,91,19,75,26,54
202552,47,17,133,20,113,24,93,33,67
202601,59,21,168,25,142,30,117,41,84
202602,73,26,210,31,178,37,146,51,105
202603,90,32,257,37,217,45,178,62,128
202604,108,38,310,45,261,55,215,76,155
202605,128,45,363,53,306,64,253,89,182
202606,148,52,419,61,353,74,292,103,211
202607,169,59,477,70,403,85,333,118,241
202608,191,66,538,78,456,96,377,133,272
202609,214,75,607,88,515,107,425,149,306
202610,241,84,683,99,581,121,478,168,343
202611,267,93,761,111,647,134,532,186,381
202612,293,103,838,122,713,148,586,204,420
202613,316,111,904,132,768,160,633,220,453
202614,335,117,960,140,815,169,673,234,481
202615,351,123,1006,146,853,177,704,245,505
202616,360,126,1031,150,873,182,722,251,519
202617,364,127,1036,151,879,183,727,253,523
202618,357,125,1014,148,862,179,712,248,515
202619,342,119,967,141,824,171,679,238,492
202620,320,111,902,132,770,160,634,222,460
202621,293,102,823,120,703,146,579,203,420
202622,262,91,737,108,629,131,518,182,376
202623,232,81,653,95,556,116,458,161,332
202624,203,71,571,84,485,101,400,141,290
202625,177,62,501,73,425,88,350,123,254
202626,155,54,441,64,374,77,308,107,223
202627,136,47,390,56,330,68,272,94,196
202628,120,41,346,49,293,59,240,83,173
202629,105,36,306,42,258,52,212,73,152
202630,91,31,266,37,225,45,185,63,133
202631,79,26,229,31,194,38,159,54,115
202632,67,22,195,26,165,33,136,46,98
202633,56,18,163,22,138,27,114,39,82
202634,47,15,136,18,115,23,95,32,68
202635,39,13,113,15,96,19,79,27,57
202636,33,11,96,13,81,16,67,23,48
202637,29,9,83,11,71,14,58,20,42
202638,26,8,75,10,64,12,53,18,38
202639,24,8,71,9,61,12,50,17,35
202640,24,8,70,9,60,11,48,16,34
