epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,59,8,430,11,320,15,221,30,119
202542,65,8,497,11,369,16,252,32,133
202543,72,9,576,12,423,18,287,35,149
202544,80,10,669,13,483,20,327,39,168
202545,91,11,778,15,553,22,373,44,190
202546,102,11,910,16,639,24,430,48,216
202547,117,13,1072,18,747,27,500,55,249
202548,133,14,1242,21,861,31,577,62,286
202549,150,16,1419,23,983,35,656,70,324
202550,170,18,1613,26,1121,40,744,79,368
202551,195,21,1866,30,1297,45,853,90,422
202552,230,24,2233,35,1545,53,1006,105,497
202601,277,29,2736,42,1876,64,1213,126,598
202602,336,34,3375,51,2286,77,1476,153,724
202603,407,42,4141,62,2781,93,1799,185,880
202604,495,51,5053,76,3386,112,2202,224,1074
202605,604,62,6133,92,4142,137,2707,274,1318
202606,741,77,7454,113,5106,167,3345,336,1631
202607,911,95,9069,138,6300,204,4130,413,2019
202608,1110,116,10986,165,7694,247,5038,503,2469
202609,1336,139,13212,196,9263,294,6041,605,2973
202610,1577,162,15678,227,10913,344,7083,712,3502
202611,1816,184,18234,257,12546,392,8101,818,4017
202612,2030,203,20609,283,13989,435,8993,911,4468
202613,2193,216,22479,304,15068,468,9649,982,4806
202614,2269,221,23462,314,15546,484,9933,1015,4964
202615,2237,215,23230,310,15282,478,9762,1000,4893
202616,2110,201,21918,293,14393,453,9190,944,4621
202617,1905,181,19727,266,13009,412,8311,854,4187
202618,1656,156,17058,232,11346,360,7259,743,3655
202619,1390,130,14244,196,9592,303,6148,625,3087
202620,1124,105,11488,159,7848,246,5038,507,2518
202621,881,81,9007,124,6238,192,4014,398,1992
202622,674,61,6935,93,4844,145,3126,305,1537
202623,510,45,5328,69,3723,108,2405,230,1171
202624,385,33,4119,50,2861,80,1844,173,890
202625,292,25,3201,37,2200,59,1414,130,677
202626,223,18,2497,27,1700,44,1085,98,517
202627,170,14,1942,21,1313,33,833,73,395
202628,130,10,1518,16,1027,25,647,55,305
202629,102,8,1220,12,828,19,518,43,241
202630,83,7,1034,10,707,15,437,34,199
202631,72,5,934,8,642,13,392,29,174
202632,65,5,884,7,605,11,366,26,160
202633,59,4,850,6,574,10,344,23,148
202634,54,4,815,6,541,9,322,21,138
202635,51,3,801,5,523,9,308,20,131
202636,50,3,811,5,521,8,306,19,130
202637,51,3,852,5,541,8,317,20,133
202638,54,3,918,5,580,9,339,21,141
202639,57,4,1005,6,633,9,369,22,152
202640,63,4,1122,6,706,10,409,24,166
