epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,37,10,125,13,102,16,82,24,55
202542,36,10,126,12,103,15,81,23,54
202543,38,10,143,12,115,16,88,24,58
202544,43,11,173,14,135,18,104,27,68
202545,48,12,195,15,152,19,118,30,76
202546,50,13,205,16,164,21,125,32,81
202547,55,14,228,18,188,23,139,35,90
202548,69,17,292,22,236,28,176,43,114
202549,90,21,381,27,300,35,230,55,147
202550,109,25,472,32,371,42,284,66,180
202551,133,31,586,39,462,51,348,81,221
202552,173,40,774,51,606,66,456,105,288
202601,230,52,1027,66,797,87,607,138,382
202602,288,64,1286,82,999,108,761,172,479
202603,345,78,1552,100,1213,131,914,206,577
202604,416,94,1887,122,1473,159,1106,250,699
202605,509,114,2309,147,1786,192,1352,304,853
202606,600,133,2731,172,2098,226,1596,357,1006
202607,670,148,3057,192,2360,253,1789,399,1125
202608,729,162,3341,210,2598,276,1958,436,1229
202609,798,175,3651,228,2844,301,2145,476,1342
202610,863,186,3948,243,3065,322,2320,511,1447
202611,897,193,4129,251,3209,334,2422,530,1505
202612,900,194,4176,252,3261,334,2445,533,1515
202613,895,192,4166,248,3263,330,2445,530,1509
202614,890,189,4128,242,3232,323,2432,522,1496
202615,854,180,3963,229,3105,307,2342,498,1437
202616,785,165,3658,210,2882,281,2167,457,1328
202617,713,150,3335,191,2642,254,1984,415,1215
202618,655,136,3070,173,2428,230,1834,379,1122
202619,598,121,2816,155,2211,208,1680,343,1027
202620,522,105,2499,135,1958,181,1484,299,905
202621,441,88,2148,114,1691,154,1274,253,776
202622,376,74,1852,97,1460,130,1101,215,667
202623,326,62,1622,82,1268,111,961,184,579
202624,275,51,1409,68,1086,93,819,154,492
202625,223,42,1196,55,913,76,679,125,407
202626,185,34,1026,45,776,62,573,103,341
202627,163,29,919,38,684,53,508,90,301
202628,145,25,839,33,616,46,457,79,268
202629,126,22,757,29,555,40,405,68,236
202630,112,20,698,26,516,35,369,61,214
202631,109,19,684,25,509,34,361,59,208
202632,109,18,692,25,514,33,365,59,208
202633,105,18,688,24,507,32,358,56,202
202634,100,17,669,22,493,31,345,54,193
202635,97,16,653,21,483,29,336,51,187
202636,95,15,645,20,479,28,332,50,184
202637,92,14,635,19,470,27,326,49,179
202638,88,14,616,18,456,26,314,46,172
202639,85,13,609,18,451,25,308,45,168
202640,88,13,627,18,465,26,318,46,174
