epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,124,36,432,44,349,55,274,80,186
202542,119,34,426,42,343,52,268,77,181
202543,117,33,427,41,343,51,267,75,180
202544,118,33,433,40,349,51,272,75,182
202545,120,33,445,40,360,52,280,77,187
202546,123,34,460,41,374,53,292,79,194
202547,128,35,478,42,391,54,306,81,203
202548,134,36,501,44,412,57,323,85,214
202549,141,38,528,47,434,60,341,89,226
202550,149,40,558,49,458,63,360,94,239
202551,158,42,591,52,485,66,381,99,253
202552,168,44,632,56,517,71,407,106,270
202601,181,48,681,60,556,76,436,114,290
202602,195,51,735,65,601,82,470,124,312
202603,210,55,789,70,644,88,504,133,334
202604,222,58,831,73,679,93,529,140,350
202605,231,61,868,76,708,97,550,147,364
202606,240,63,902,78,732,100,567,152,377
202607,247,65,926,80,749,102,580,156,386
202608,253,66,949,81,766,104,592,160,395
202609,260,67,980,83,788,107,610,164,407
202610,270,69,1022,86,819,111,634,170,424
202611,280,71,1067,88,854,114,661,176,441
202612,288,73,1110,91,889,118,688,181,457
202613,295,74,1147,92,920,120,711,185,469
202614,300,75,1179,94,946,122,730,187,479
202615,303,76,1204,95,965,123,744,189,486
202616,303,76,1210,95,967,122,746,187,485
202617,300,76,1198,94,957,120,740,184,480
202618,296,74,1181,92,942,118,730,180,472
202619,290,73,1157,90,924,115,716,177,462
202620,283,71,1130,88,904,112,699,173,452
202621,276,69,1103,86,884,110,683,169,441
202622,270,67,1078,84,864,108,668,165,432
202623,263,66,1056,82,847,105,653,161,424
202624,258,64,1039,80,830,103,639,158,416
202625,250,62,1012,77,807,100,620,153,406
202626,240,60,974,74,776,96,596,147,390
202627,230,58,940,71,745,92,574,142,375
202628,222,56,910,69,719,89,554,137,362
202629,215,54,881,67,695,86,536,134,352
202630,210,53,856,66,675,84,521,131,342
202631,204,52,835,64,658,82,508,128,333
202632,199,50,813,62,641,80,495,124,324
202633,194,49,795,61,629,78,482,121,316
202634,190,48,782,59,620,76,474,118,310
202635,187,47,771,58,611,75,466,115,305
202636,186,47,766,58,608,74,462,113,303
202637,186,46,771,57,610,73,464,112,303
202638,186,46,778,57,616,74,468,112,304
202639,187,46,787,57,625,74,474,113,307
202640,189,46,798,58,635,75,483,115,310
