epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,20,4,86,6,69,7,52,12,33
202542,17,4,80,5,61,7,47,11,29
202543,19,4,85,5,69,7,52,12,33
202544,19,4,89,5,71,7,54,12,33
202545,20,4,95,5,73,7,56,12,35
202546,24,5,112,6,88,9,66,14,41
202547,23,5,114,6,83,8,64,13,39
202548,27,5,130,7,101,10,76,16,47
202549,28,6,137,7,105,10,79,16,48
202550,30,6,147,8,114,10,86,17,53
202551,36,7,176,9,143,12,104,20,64
202552,38,8,190,10,147,13,109,21,67
202601,49,9,244,12,194,16,141,27,86
202602,54,10,283,14,215,18,158,30,96
202603,65,12,338,16,254,22,188,36,114
202604,78,15,404,19,310,26,228,44,138
202605,84,16,439,21,327,29,247,48,148
202606,103,19,519,25,407,35,300,58,181
202607,109,21,557,27,429,38,322,63,193
202608,125,24,633,31,493,43,366,72,219
202609,138,26,709,35,553,48,408,79,243
202610,146,28,764,37,574,51,432,85,256
202611,164,31,852,41,660,57,486,94,288
202612,162,31,854,41,643,56,482,94,284
202613,175,33,904,44,702,60,517,100,306
202614,174,33,901,44,705,60,516,100,306
202615,172,33,892,43,690,59,509,98,302
202616,180,34,929,45,741,61,533,102,317
202617,168,32,894,42,675,57,499,96,295
202618,177,33,936,44,722,59,523,99,310
202619,164,31,884,41,665,55,488,92,289
202620,157,30,844,39,636,53,467,88,277
202621,150,28,796,37,621,50,448,84,267
202622,128,25,692,32,523,43,388,73,229
202623,127,24,674,32,537,43,385,71,228
202624,107,21,587,27,442,36,327,60,192
202625,103,19,571,25,432,34,316,57,185
202626,92,17,519,23,390,31,284,51,166
202627,77,14,442,19,319,25,238,43,138
202628,73,13,406,18,320,24,227,40,132
202629,55,10,313,13,235,18,173,30,100
202630,53,9,294,12,236,17,166,29,96
202631,44,8,251,10,195,14,139,24,80
202632,39,7,234,9,172,12,125,21,71
202633,39,6,232,9,174,12,124,21,71
202634,30,5,193,7,133,9,99,16,56
202635,31,5,191,7,146,10,102,17,58
202636,25,4,152,5,113,7,81,13,46
202637,23,4,143,5,112,7,79,13,44
202638,23,4,139,5,109,7,76,12,43
202639,20,3,129,4,92,6,68,11,38
202640,23,4,145,5,108,7,77,12,43
