epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,12,1,94,2,71,3,46,6,24
202542,10,1,98,2,67,2,44,5,22
202543,11,1,108,2,73,3,48,5,24
202544,11,1,114,2,78,3,50,5,25
202545,10,1,111,1,72,2,47,5,22
202546,10,1,105,2,74,2,47,5,23
202547,9,1,98,1,67,2,43,4,21
202548,9,1,99,1,66,2,42,4,20
202549,10,1,104,1,71,2,45,4,22
202550,9,1,106,1,68,2,43,4,20
202551,9,1,103,1,69,2,44,4,20
202552,8,1,97,1,66,2,41,4,19
202601,7,1,90,1,60,1,37,3,17
202602,8,1,90,1,62,2,39,3,19
202603,7,1,90,1,59,1,37,3,17
202604,7,1,91,1,60,1,38,3,17
202605,7,1,89,1,61,1,38,3,17
202606,6,1,85,1,55,1,34,3,15
202607,7,1,85,1,57,1,36,3,16
202608,6,1,86,1,56,1,35,3,16
202609,6,1,89,1,57,1,36,3,16
202610,7,1,90,1,61,1,38,3,17
202611,6,1,88,1,57,1,36,3,16
202612,7,1,87,1,60,1,37,3,17
202613,7,1,89,1,61,1,37,3,17
202614,7,1,95,1,62,1,38,3,17
202615,8,1,104,1,70,1,42,3,19
202616,7,1,107,1,70,1,42,3,18
202617,8,1,107,1,72,1,44,3,19
202618,8,1,108,1,74,1,45,3,20
202619,8,1,112,1,74,1,45,3,19
202620,9,1,124,1,83,2,50,3,22
202621,9,1,136,1,88,2,53,4,22
202622,9,1,143,1,90,2,55,4,23
202623,10,1,144,1,94,2,57,4,25
202624,9,1,140,1,90,2,55,4,23
202625,10,1,141,1,94,2,57,4,25
202626,10,1,148,1,97,2,59,4,25
202627,10,1,158,1,100,2,61,4,25
202628,11,1,165,1,105,2,64,4,27
202629,10,1,163,1,102,2,61,4,26
202630,10,1,155,1,100,2,60,4,26
202631,10,1,148,1,98,2,59,4,26
202632,10,1,148,1,95,2,58,4,24
202633,10,1,153,1,100,2,60,4,26
202634,10,1,156,1,99,2,59,4,25
202635,9,1,153,1,97,2,58,4,24
202636,9,1,146,1,95,2,56,4,24
202637,9,1,138,1,89,1,53,3,22
202638,9,1,136,1,89,1,53,3,23
202639,9,1,138,1,89,1,53,3,23
202640,8,1,139,1,87,1,52,3,22
