epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,44,4,507,6,343,9,216,19,100
202542,43,4,520,5,348,8,218,18,100
202543,43,3,530,5,353,8,220,18,101
202544,44,4,536,5,358,9,222,19,103
202545,47,4,555,6,372,9,232,20,108
202546,49,4,591,6,397,10,246,21,114
202547,51,4,643,6,429,10,263,21,121
202548,54,4,700,6,462,10,281,22,128
202549,53,4,685,6,447,10,275,22,126
202550,51,4,641,6,419,9,259,21,120
202551,51,4,637,6,418,10,264,21,120
202552,59,5,747,7,496,11,312,24,138
202601,75,6,1004,9,664,14,409,31,180
202602,97,7,1343,11,880,18,534,40,235
202603,119,9,1675,13,1093,22,659,49,292
202604,139,10,1949,15,1272,25,772,57,344
202605,161,11,2195,17,1443,29,887,65,397
202606,189,14,2523,21,1676,34,1042,77,465
202607,232,17,3094,26,2054,42,1288,94,571
202608,300,22,4048,34,2662,55,1673,122,739
202609,401,30,5519,45,3590,73,2246,162,991
202610,550,41,7744,62,4994,99,3101,222,1368
202611,757,56,10900,84,7000,135,4304,304,1895
202612,1027,75,15051,112,9654,182,5887,412,2585
202613,1344,97,19904,145,12772,238,7738,538,3391
202614,1659,118,24718,178,15875,292,9567,662,4187
202615,1929,137,28767,207,18496,340,11133,771,4868
202616,2095,148,31084,225,20047,369,12094,838,5286
202617,2158,152,31816,232,20624,381,12459,863,5432
202618,2114,148,30962,228,20164,375,12229,845,5310
202619,1973,138,28732,214,18790,352,11413,790,4948
202620,1752,122,25424,191,16642,313,10125,703,4390
202621,1470,102,21286,160,13907,263,8472,589,3683
202622,1162,81,16817,125,10960,207,6679,465,2915
202623,870,60,12627,93,8186,153,4995,347,2191
202624,623,43,9134,65,5889,108,3589,247,1580
202625,435,30,6492,45,4177,74,2533,172,1112
202626,301,20,4641,30,2981,50,1792,118,778
202627,210,14,3375,20,2164,34,1289,81,551
202628,150,9,2511,14,1611,23,952,57,398
202629,111,7,1920,10,1237,17,730,42,298
202630,87,5,1535,8,994,13,587,33,235
202631,72,4,1292,7,836,11,493,27,194
202632,62,3,1115,6,712,10,416,23,165
202633,50,3,933,4,579,8,334,18,134
202634,38,2,744,3,446,6,256,14,104
202635,26,1,548,2,319,3,182,9,74
202636,19,1,451,1,263,2,147,6,57
202637,18,1,435,1,261,2,147,6,53
202638,20,1,479,1,295,2,163,6,58
202639,22,1,532,2,326,3,180,8,64
202640,22,1,550,2,331,3,182,8,66
