epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,32,3,344,4,237,7,152,14,73
202542,30,3,341,4,234,6,149,13,71
202543,30,3,348,4,237,6,151,13,71
202544,31,3,360,4,244,6,157,13,73
202545,33,3,378,4,255,7,165,14,77
202546,34,3,397,4,269,7,174,15,80
202547,36,3,420,4,284,7,183,15,84
202548,37,3,442,5,299,7,192,16,88
202549,39,3,472,5,319,8,203,17,92
202550,41,3,506,5,341,8,217,17,98
202551,45,4,555,5,373,9,236,19,106
202552,50,4,624,6,417,10,262,21,118
202601,56,4,721,7,481,11,299,24,135
202602,65,5,838,8,555,12,344,27,156
202603,74,6,974,9,640,14,394,31,178
202604,85,7,1124,10,734,16,449,35,203
202605,97,8,1285,11,836,18,512,40,231
202606,111,9,1468,13,957,21,585,46,264
202607,128,10,1685,15,1106,24,677,53,304
202608,151,11,1957,17,1298,28,798,62,358
202609,179,14,2296,21,1538,33,949,74,426
202610,214,16,2717,25,1826,40,1135,89,512
202611,254,20,3202,29,2155,48,1349,106,610
202612,296,23,3741,34,2510,56,1575,124,715
202613,338,27,4277,39,2863,63,1795,142,818
202614,377,30,4793,44,3188,70,1990,158,909
202615,407,32,5216,48,3447,76,2145,170,978
202616,425,33,5506,49,3616,79,2239,176,1017
202617,428,33,5576,49,3646,79,2254,176,1019
202618,414,31,5447,47,3556,76,2191,170,986
202619,386,28,5122,44,3353,71,2059,157,921
202620,347,25,4665,39,3070,63,1879,141,834
202621,301,21,4130,33,2727,54,1664,121,732
202622,254,18,3577,27,2368,45,1440,102,628
202623,209,14,3043,22,2011,37,1217,84,526
202624,170,11,2556,17,1672,29,1010,68,433
202625,136,9,2129,14,1377,23,828,54,352
202626,108,7,1757,10,1120,17,669,42,282
202627,86,5,1437,8,904,13,536,33,224
202628,68,4,1169,6,725,10,428,26,178
202629,53,3,945,4,579,8,340,20,139
202630,41,2,766,3,466,6,271,15,110
202631,32,2,628,3,381,4,220,12,88
202632,25,1,524,2,318,3,181,9,71
202633,21,1,457,2,276,3,155,7,60
202634,18,1,418,1,252,2,139,6,53
202635,16,1,400,1,239,2,131,5,49
202636,15,1,390,1,232,2,126,5,47
202637,15,1,391,1,232,2,126,5,46
202638,15,1,393,1,234,2,126,5,46
202639,15,1,398,1,238,2,128,5,46
202640,15,1,407,1,242,2,129,5,46
