epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,13,3,65,3,50,5,37,8,23
202542,12,2,61,3,47,4,34,7,21
202543,11,2,59,3,45,4,34,7,20
202544,11,2,60,3,46,4,34,7,20
202545,11,2,60,3,45,4,34,6,20
202546,11,2,59,3,44,4,33,6,20
202547,11,2,60,3,45,4,33,6,20
202548,12,2,63,3,48,4,36,7,21
202549,12,2,66,3,51,4,37,7,22
202550,13,2,67,3,51,4,37,7,22
202551,13,2,69,3,53,4,39,7,23
202552,14,3,74,3,57,5,41,7,24
202601,14,3,78,3,60,5,43,8,25
202602,14,3,78,3,60,5,43,8,25
202603,15,3,80,4,61,5,44,8,26
202604,15,3,85,4,65,5,46,8,27
202605,16,3,91,4,70,5,50,9,29
202606,16,3,93,4,71,5,51,9,30
202607,17,3,94,4,71,5,52,9,30
202608,18,3,101,4,76,6,55,10,32
202609,19,3,112,5,85,6,61,11,36
202610,21,4,120,5,92,7,66,12,39
202611,22,4,123,5,94,7,68,12,40
202612,24,4,131,6,98,8,72,13,42
202613,26,5,146,6,110,8,80,14,47
202614,28,5,158,6,121,9,87,16,51
202615,30,5,161,7,124,9,90,16,53
202616,30,5,164,7,124,10,91,16,53
202617,32,6,176,7,132,10,96,17,57
202618,34,6,191,8,144,11,105,19,62
202619,34,6,195,8,148,11,107,19,63
202620,34,6,190,8,144,11,105,18,62
202621,34,6,194,8,146,11,107,19,63
202622,36,6,211,8,158,11,115,20,67
202623,37,6,221,8,165,12,120,21,70
202624,37,6,215,8,161,12,117,20,68
202625,36,6,208,9,157,12,114,19,66
202626,37,6,217,9,163,12,118,20,69
202627,39,6,232,9,172,12,124,21,72
202628,39,6,231,9,169,12,122,21,71
202629,37,6,215,8,159,11,115,20,67
202630,36,6,211,8,157,11,113,19,66
202631,37,6,219,8,163,11,118,20,68
202632,37,6,222,8,162,11,117,20,67
202633,34,5,208,7,151,10,108,18,63
202634,33,5,193,7,143,10,103,17,59
202635,32,5,192,7,144,10,104,17,60
202636,32,5,197,7,145,9,104,17,60
202637,30,5,189,6,137,9,98,16,56
202638,28,4,174,6,128,8,91,15,52
202639,28,4,169,6,128,8,91,15,52
202640,28,4,174,6,131,8,93,15,53
