epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,387,78,2016,100,1523,135,1123,225,681
202542,412,79,2260,102,1691,139,1236,234,738
202543,446,82,2544,107,1888,146,1376,249,810
202544,494,88,2876,116,2136,158,1554,271,903
202545,557,97,3293,128,2455,176,1784,303,1022
202546,634,108,3846,142,2882,195,2079,341,1175
202547,734,121,4564,160,3435,221,2453,391,1372
202548,862,138,5490,185,4141,256,2925,458,1627
202549,1029,161,6663,218,5039,303,3522,545,1953
202550,1238,189,8147,258,6160,363,4275,657,2366
202551,1501,225,9987,309,7534,438,5229,797,2890
202552,1834,272,12297,374,9236,532,6444,974,3558
202601,2241,330,15092,455,11279,648,7945,1189,4378
202602,2715,401,18298,550,13622,782,9704,1438,5335
202603,3256,484,21926,661,16259,935,11700,1719,6422
202604,3865,578,25972,785,19218,1107,13924,2031,7636
202605,4558,685,30625,926,22578,1301,16390,2381,8991
202606,5338,803,35928,1083,26354,1518,19097,2773,10491
202607,6173,926,41744,1248,30440,1755,21933,3191,12064
202608,7020,1045,47712,1412,34591,1994,24754,3610,13630
202609,7818,1152,53417,1566,38508,2220,27393,4000,15101
202610,8488,1238,58250,1694,41846,2409,29621,4328,16337
202611,8977,1299,61745,1787,44367,2549,31295,4570,17251
202612,9236,1333,63652,1836,45779,2629,32269,4707,17757
202613,9214,1333,63576,1835,45897,2629,32349,4712,17782
202614,8873,1288,61239,1772,44435,2534,31341,4555,17213
202615,8270,1206,57046,1658,41634,2365,29394,4263,16131
202616,7490,1096,51636,1507,37873,2144,26733,3871,14674
202617,6629,974,45750,1336,33669,1897,23700,3430,13032
202618,5744,845,39731,1159,29255,1640,20523,2969,11323
202619,4899,718,34039,987,24982,1394,17448,2525,9665
202620,4100,596,28711,824,20917,1163,14534,2104,8080
202621,3375,487,23877,675,17224,954,11892,1723,6637
202622,2737,391,19554,543,13939,772,9591,1391,5366
202623,2190,310,15753,431,11128,616,7646,1109,4277
202624,1729,243,12485,338,8775,485,6043,875,3368
202625,1352,189,9767,262,6859,378,4749,685,2627
202626,1047,147,7567,202,5334,293,3711,533,2034
202627,807,113,5831,155,4141,225,2888,411,1566
202628,626,88,4553,119,3250,173,2263,318,1216
202629,495,69,3666,93,2618,135,1808,249,965
202630,405,55,3080,75,2192,109,1497,201,795
202631,343,46,2694,62,1898,91,1285,169,680
202632,297,39,2399,54,1680,78,1130,146,597
202633,257,34,2135,46,1489,67,998,126,525
202634,224,29,1909,40,1333,58,890,110,464
202635,200,26,1741,35,1219,51,809,97,417
202636,186,23,1642,32,1160,46,761,89,388
202637,178,22,1605,30,1138,44,740,84,374
202638,178,21,1638,29,1160,43,746,83,374
202639,180,20,1718,29,1207,43,768,83,381
202640,188,20,1852,29,1285,44,813,86,401
