epiweek,median_cases,LB95,UB95,LB90,UB90,LB80,UB80,LB50,UB50
202541,29,8,103,10,83,13,66,19,44
202542,33,9,119,11,96,14,75,21,50
202543,37,10,138,12,111,16,86,24,58
202544,42,11,157,14,126,18,98,27,65
202545,46,12,174,15,140,19,108,29,72
202546,49,13,186,16,150,20,116,31,77
202547,51,14,196,17,158,21,122,33,81
202548,54,14,206,18,165,22,128,34,84
202549,56,15,216,18,172,23,134,35,88
202550,59,15,228,19,182,24,141,37,93
202551,63,16,247,20,197,26,153,40,101
202552,71,18,277,23,223,29,173,45,114
202601,83,21,323,26,261,34,202,52,133
202602,99,25,386,31,313,41,241,62,159
202603,119,30,468,38,378,49,291,75,191
202604,143,37,567,46,457,59,350,89,229
202605,170,44,679,55,543,70,417,106,272
202606,198,51,797,64,634,82,486,124,317
202607,226,59,914,73,723,93,555,141,362
202608,253,65,1023,82,806,104,620,158,405
202609,274,71,1109,89,873,113,674,172,439
202610,288,74,1164,93,917,119,710,181,463
202611,299,77,1199,96,950,123,736,188,481
202612,309,79,1231,99,981,127,761,194,498
202613,317,82,1261,101,1009,131,782,199,513
202614,326,84,1293,104,1039,134,803,205,528
202615,333,86,1318,106,1061,137,818,208,538
202616,335,87,1329,107,1068,137,823,209,541
202617,333,87,1323,106,1060,136,816,207,536
202618,323,84,1288,103,1027,132,792,200,520
202619,305,79,1219,97,965,124,748,189,490
202620,280,72,1121,89,882,114,688,173,450
202621,250,65,1002,80,787,102,617,154,403
202622,219,56,878,70,690,90,542,135,354
202623,189,49,759,60,598,77,469,117,307
202624,164,42,658,52,520,67,405,101,266
202625,143,36,577,45,457,58,354,89,232
202626,126,32,510,40,406,51,312,78,205
202627,113,28,458,35,365,46,279,70,183
202628,101,25,411,32,329,41,250,62,163
202629,90,22,369,28,295,36,224,56,146
202630,80,20,330,25,264,32,201,50,130
202631,71,18,293,22,234,29,179,44,115
202632,63,15,259,20,206,25,159,39,102
202633,56,14,229,17,183,23,141,34,90
202634,49,12,203,15,163,20,126,30,80
202635,44,11,181,14,145,18,112,27,71
202636,39,10,163,12,130,16,100,24,64
202637,35,9,148,11,117,14,90,22,58
202638,32,8,136,10,107,13,83,20,53
202639,30,7,127,9,99,12,77,19,49
202640,29,7,121,9,95,12,74,18,47
